;StartNode;EndNode;Class;Rank;Weight
123;antigen i/ii;candida albicans;gene;0;2
124;antigen i/ii;cftr;gene;0;1
125;antigen i/ii;cysteine;gene;0;1
126;antigen i/ii;cystic fibrosis;gene;0;1
127;antigen i/ii;cystic fibrosis lungs;gene;0;1
128;antigen i/ii;dev-igg domains;gene;0;1
129;antigen i/ii;fibrinogen;gene;0;2
130;antigen i/ii;frd1;gene;0;1
131;antigen i/ii;gp340;gene;0;1
132;antigen i/ii;lung alveolar glycoprotein 340;gene;0;1
133;antigen i/ii;lung alveolar protein gp340;gene;0;1
134;antigen i/ii;p. aeruginosa;gene;0;2
135;antigen i/ii;pas;gene;0;2
136;antigen i/ii;patients;gene;0;1
137;antigen i/ii;pseudomonas aeruginosa;gene;0;2
138;antigen i/ii;purulent infections;gene;0;1
139;antigen i/ii;s. intermedius;gene;0;3
140;antigen i/ii;scavenger receptor cysteine-rich domains;gene;0;1
141;antigen i/ii;sortase a-deficient mutant;gene;0;1
142;antigen i/ii;srcrs;gene;0;1
143;antigen i/ii;srta;gene;0;1
144;antigen i/ii;streptococcus intermedius;gene;0;3
145;antigen i/ii;v(pas);gene;0;1
146;apra;alkaline protease;gene;0;2
147;apra;apra;gene;0;2
148;apra;cftr;gene;0;4
149;apra;cl-;gene;0;8
150;apra;cystic fibrosis;gene;0;2
151;apra;p. aeruginosa;gene;0;20
152;apra;patients;gene;0;4
153;apra;phe508del-cftr;gene;0;4
154;apra;pseudomonas aeruginosa;gene;0;2
155;apra;tobramycin;gene;0;16
156;bovine;bovine interleukin (il)-8 promoter;species;0;1
157;bovine;cftr;species;0;2
158;bovine;cystic fibrosis;species;0;3
159;bovine;cystic fibrosis transmembrane conductance regulator;species;0;1
160;bovine;il-8;species;0;1
161;bovine;ilomastat;species;0;5
162;bovine;inflammatory diseases;species;0;1
163;bovine;lung inflammation;species;0;2
164;bovine;marimastat;species;0;5
165;bovine;mice;species;0;5
166;bovine;p. aeruginosa;species;0;4
167;bovine;pseudomonas aeruginosa;species;0;2
168;bovine interleukin (il)-8 promoter;bovine;gene;0;1
169;bovine interleukin (il)-8 promoter;cftr;gene;0;2
170;bovine interleukin (il)-8 promoter;cystic fibrosis;gene;0;3
171;bovine interleukin (il)-8 promoter;cystic fibrosis transmembrane conductance regulator;gene;0;1
172;bovine interleukin (il)-8 promoter;il-8;gene;0;1
173;bovine interleukin (il)-8 promoter;ilomastat;gene;0;5
174;bovine interleukin (il)-8 promoter;inflammatory diseases;gene;0;1
175;bovine interleukin (il)-8 promoter;lung inflammation;gene;0;2
176;bovine interleukin (il)-8 promoter;marimastat;gene;0;5
177;bovine interleukin (il)-8 promoter;mice;gene;0;5
178;bovine interleukin (il)-8 promoter;p. aeruginosa;gene;0;4
179;bovine interleukin (il)-8 promoter;pseudomonas aeruginosa;gene;0;2
180;c(123)(pas);agi/;gene;0;1
181;c(123)(pas);agi/ii of;gene;0;1
182;c(123)(pas);antigen i/ii;gene;0;1
183;c(123)(pas);c. albicans;gene;0;2
184;c(123)(pas);candida albicans;gene;0;2
185;c(123)(pas);cftr;gene;0;1
186;c(123)(pas);cysteine;gene;0;1
187;c(123)(pas);cystic fibrosis;gene;0;1
188;c(123)(pas);cystic fibrosis lungs;gene;0;1
189;c(123)(pas);dev-igg domains;gene;0;1
190;c(123)(pas);fibrinogen;gene;0;2
191;c(123)(pas);frd1;gene;0;1
192;c(123)(pas);gp340;gene;0;1
193;c(123)(pas);lung alveolar glycoprotein 340;gene;0;1
194;c(123)(pas);lung alveolar protein gp340;gene;0;1
195;c(123)(pas);p. aeruginosa;gene;0;2
196;c(123)(pas);pas;gene;0;2
197;c(123)(pas);patients;gene;0;1
198;c(123)(pas);pseudomonas aeruginosa;gene;0;2
199;c(123)(pas);purulent infections;gene;0;1
200;c(123)(pas);s. intermedius;gene;0;3
201;c(123)(pas);scavenger receptor cysteine-rich domains;gene;0;1
202;c(123)(pas);sortase a-deficient mutant;gene;0;1
203;c(123)(pas);srcrs;gene;0;1
204;c(123)(pas);srta;gene;0;1
205;c(123)(pas);streptococcus intermedius;gene;0;3
206;c(123)(pas);v(pas);gene;0;1
207;c. albicans;agi/;species;0;2
208;c. albicans;agi/ii of;species;0;2
209;c. albicans;antigen i/ii;species;0;2
210;c. albicans;c(123)(pas);species;0;2
211;c. albicans;c. albicans;species;0;2
212;c. albicans;candida albicans;species;0;4
213;c. albicans;cftr;species;0;2
214;c. albicans;cysteine;species;0;2
215;c. albicans;cystic fibrosis;species;0;2
216;c. albicans;cystic fibrosis lungs;species;0;2
217;c. albicans;dev-igg domains;species;0;2
218;c. albicans;fibrinogen;species;0;4
219;c. albicans;frd1;species;0;2
220;c. albicans;gp340;species;0;2
221;c. albicans;lung alveolar glycoprotein 340;species;0;2
222;c. albicans;lung alveolar protein gp340;species;0;2
223;c. albicans;p. aeruginosa;species;0;4
224;c. albicans;pas;species;0;4
225;c. albicans;patients;species;0;2
226;c. albicans;pseudomonas aeruginosa;species;0;4
227;c. albicans;purulent infections;species;0;2
228;c. albicans;s. intermedius;species;0;6
229;c. albicans;scavenger receptor cysteine-rich domains;species;0;2
230;c. albicans;sortase a-deficient mutant;species;0;2
231;c. albicans;srcrs;species;0;2
232;c. albicans;srta;species;0;2
233;c. albicans;streptococcus intermedius;species;0;6
234;c. albicans;v(pas);species;0;2
235;calu-3 cell line;cell lines;cell_line;0;1
236;calu-3 cell line;cftr;cell_line;0;3
237;calu-3 cell line;cftr- epithelial cells;cell_line;0;1
238;calu-3 cell line;ciprofloxacin;cell_line;0;5
239;calu-3 cell line;cystic fibrosis;cell_line;0;1
240;calu-3 cell line;human;cell_line;0;1
241;calu-3 cell line;human airway epithelial cell line model;cell_line;0;1
242;calu-3 cell line;p. aeruginosa;cell_line;0;1
243;calu-3 cell line;pao1;cell_line;0;1
244;calu-3 cell line;pseudomonas;cell_line;0;2
245;calu-3 cell line;pseudomonas aeruginosa;cell_line;0;1
246;candida albicans;agi/;species;0;2
247;candida albicans;agi/ii of;species;0;2
248;candida albicans;antigen i/ii;species;0;2
249;candida albicans;c(123)(pas);species;0;2
250;candida albicans;c. albicans;species;0;4
251;candida albicans;candida albicans;species;0;2
252;candida albicans;cftr;species;0;2
253;candida albicans;cysteine;species;0;2
254;candida albicans;cystic fibrosis;species;0;2
255;candida albicans;cystic fibrosis lungs;species;0;2
256;candida albicans;dev-igg domains;species;0;2
257;candida albicans;fibrinogen;species;0;4
258;candida albicans;frd1;species;0;2
259;candida albicans;gp340;species;0;2
260;candida albicans;lung alveolar glycoprotein 340;species;0;2
261;candida albicans;lung alveolar protein gp340;species;0;2
262;candida albicans;p. aeruginosa;species;0;4
263;candida albicans;pas;species;0;4
264;candida albicans;patients;species;0;2
265;candida albicans;pseudomonas aeruginosa;species;0;4
266;candida albicans;purulent infections;species;0;2
267;candida albicans;s. intermedius;species;0;6
268;candida albicans;scavenger receptor cysteine-rich domains;species;0;2
269;candida albicans;sortase a-deficient mutant;species;0;2
270;candida albicans;srcrs;species;0;2
271;candida albicans;srta;species;0;2
272;candida albicans;streptococcus intermedius;species;0;6
273;candida albicans;v(pas);species;0;2
274;cell lines;airway epithelial cell lines;cell_line;0;1
275;cell lines;calu-3 cell line;cell_line;0;1
276;cell lines;cftr;cell_line;0;5
277;cell lines;cftr- epithelial cells;cell_line;0;1
278;cell lines;chronic obstructive pulmonary disease;cell_line;0;1
279;cell lines;ciprofloxacin;cell_line;0;5
280;cell lines;copd;cell_line;0;1
281;cell lines;cystic fibrosis;cell_line;0;3
282;cell lines;cystic fibrosis transmembrane conductance regulator (cftr)-mutated;cell_line;0;1
283;cell lines;cystic fibrosis transmembrane conductance regulator (cftr)-mutated epithelial cells;cell_line;0;1
284;cell lines;cystic fibrosis transmembrane regulator;cell_line;0;1
285;cell lines;human;cell_line;0;1
286;cell lines;human airway epithelial cell line model;cell_line;0;1
287;cell lines;il-17;cell_line;0;1
288;cell lines;il-22;cell_line;0;1
289;cell lines;il-6;cell_line;0;4
290;cell lines;inflammation;cell_line;0;1
291;cell lines;interleukin (il)-6;cell_line;0;1
292;cell lines;lasb;cell_line;0;5
293;cell lines;mice;cell_line;0;3
294;cell lines;p. aeruginosa;cell_line;0;4
295;cell lines;pao1;cell_line;0;3
296;cell lines;pseudomonas;cell_line;0;2
297;cell lines;pseudomonas aeruginosa;cell_line;0;4
298;cell lines;stat3;cell_line;0;1
299;cell lines;trappin-2;cell_line;0;3
300;cell lines;ventilator-associated pneumonia;cell_line;0;1
301;cell lines;wt-pao1;cell_line;0;1
302;cf-adapted clinical isolate;cftr;cell_line;0;4
303;cf-adapted clinical isolate;cftr impairment;cell_line;0;1
304;cf-adapted clinical isolate;cftr proteins;cell_line;0;1
305;cf-adapted clinical isolate;cystic fibrosis;cell_line;0;2
306;cf-adapted clinical isolate;cystic fibrosis transmembrane conductance regulator;cell_line;0;1
307;cf-adapted clinical isolate;f508del-cftr;cell_line;0;2
308;cf-adapted clinical isolate;hdmf;cell_line;0;1
309;cf-adapted clinical isolate;lasr;cell_line;0;2
310;cf-adapted clinical isolate;p. aeruginosa;cell_line;0;3
311;cf-adapted clinical isolate;pao1;cell_line;0;1
312;cf-adapted clinical isolate;pseudomonas aeruginosa;cell_line;0;1
313;cf-adapted clinical isolate;vrt-325;cell_line;0;1
314;cf-adapted clinical isolate;vx-809;cell_line;0;1
315;cf-adapted clinical isolate;wt-cftr;cell_line;0;4
316;cftr;agi/;gene;0;1
317;cftr;agi/ii of;gene;0;1
318;cftr;airway epithelial cell lines;gene;0;2
319;cftr;alkaline protease;gene;0;2
320;cftr;amino acid;gene;0;2
321;cftr;amino acid receptors pcta, b and c;gene;0;1
322;cftr;amino acids;gene;0;1
323;cftr;antigen i/ii;gene;0;1
324;cftr;apra;gene;0;4
325;cftr;bovine;gene;0;2
326;cftr;bovine interleukin (il)-8 promoter;gene;0;2
327;cftr;c(123)(pas);gene;0;1
328;cftr;c. albicans;gene;0;2
329;cftr;calu-3 cell line;gene;0;3
330;cftr;candida albicans;gene;0;2
331;cftr;cell lines;gene;0;5
332;cftr;cf-adapted clinical isolate;gene;0;4
333;cftr;cftr;gene;0;54
334;cftr;cftr dysfunction;gene;0;12
335;cftr;cftr impairment;gene;0;4
336;cftr;cftr proteins;gene;0;4
337;cftr;cftr- epithelial cells;gene;0;3
338;cftr;chloride;gene;0;6
339;cftr;chronic obstructive pulmonary disease;gene;0;2
340;cftr;chronic rhinosinusitis;gene;0;6
341;cftr;ciprofloxacin;gene;0;15
342;cftr;cl(-);gene;0;12
343;cftr;cl-;gene;0;8
344;cftr;copd;gene;0;2
345;cftr;cysteine;gene;0;1
346;cftr;cystic fibrosis;gene;0;24
347;cftr;cystic fibrosis lungs;gene;0;1
348;cftr;cystic fibrosis transmembrane conductance regulator;gene;0;12
349;cftr;cystic fibrosis transmembrane conductance regulator (cftr)-mutated;gene;0;2
350;cftr;cystic fibrosis transmembrane conductance regulator (cftr)-mutated epithelial cells;gene;0;2
351;cftr;cystic fibrosis transmembrane regulator;gene;0;2
352;cftr;dead cells;gene;0;1
353;cftr;dev-igg domains;gene;0;1
354;cftr;epithelial cells;gene;0;1
355;cftr;f508del-cftr;gene;0;8
356;cftr;fibrinogen;gene;0;2
357;cftr;forskolin;gene;0;6
358;cftr;frd1;gene;0;1
359;cftr;gfp;gene;0;1
360;cftr;glucose;gene;0;1
361;cftr;gp340;gene;0;1
362;cftr;hdmf;gene;0;4
363;cftr;human;gene;0;9
364;cftr;human airway epithelial cell line model;gene;0;3
365;cftr;il-17;gene;0;2
366;cftr;il-22;gene;0;2
367;cftr;il-6;gene;0;8
368;cftr;il-8;gene;0;2
369;cftr;ilomastat;gene;0;10
370;cftr;inflammation;gene;0;2
371;cftr;inflammatory diseases;gene;0;2
372;cftr;interleukin (il)-6;gene;0;2
373;cftr;ivacaftor;gene;0;42
374;cftr;lasb;gene;0;10
375;cftr;lasr;gene;0;8
376;cftr;lung alveolar glycoprotein 340;gene;0;1
377;cftr;lung alveolar protein gp340;gene;0;1
378;cftr;lung inflammation;gene;0;4
379;cftr;marimastat;gene;0;10
380;cftr;mice;gene;0;16
381;cftr;mucus stasis;gene;0;6
382;cftr;p aeruginosa;gene;0;12
383;cftr;p. aeruginosa;gene;0;51
384;cftr;pak;gene;0;3
385;cftr;pao1;gene;0;22
386;cftr;pas;gene;0;2
387;cftr;patients;gene;0;5
388;cftr;phe508del-cftr;gene;0;4
389;cftr;propidium iodide;gene;0;1
390;cftr;pseudomonas;gene;0;6
391;cftr;pseudomonas aeruginosa;gene;0;29
392;cftr;purulent infections;gene;0;1
393;cftr;rabbit;gene;0;36
394;cftr;rabbit nasal epithelial (rne) cultures;gene;0;6
395;cftr;rne cultures;gene;0;6
396;cftr;s. intermedius;gene;0;3
397;cftr;scavenger receptor cysteine-rich domains;gene;0;1
398;cftr;sinus disease;gene;0;6
399;cftr;sinusitis;gene;0;6
400;cftr;sortase a-deficient mutant;gene;0;1
401;cftr;srcrs;gene;0;1
402;cftr;srta;gene;0;1
403;cftr;stat3;gene;0;2
404;cftr;streptococcus intermedius;gene;0;3
405;cftr;tobramycin;gene;0;16
406;cftr;trappin-2;gene;0;6
407;cftr;v(pas);gene;0;1
408;cftr;ventilator-associated pneumonia;gene;0;2
409;cftr;vrt-325;gene;0;4
410;cftr;vx-809;gene;0;4
411;cftr;wt-cftr;gene;0;16
412;cftr;wt-pao1;gene;0;2
413;cftr channel;cystic fibrosis;gene;0;2
414;cftr channel;galleria mellonella;gene;0;1
415;cftr channel;hereditary disease;gene;0;1
416;cftr channel;lethality;gene;0;1
417;cftr channel;mice;gene;0;1
418;cftr channel;p. aeruginosa;gene;0;2
419;cftr channel;p. aeruginosa infections;gene;0;1
420;cftr channel;pao1 infections;gene;0;1
421;cftr channel;pseudomonas aeruginosa;gene;0;2
422;cftr channel;respiratory infections;gene;0;1
423;cftr channel;zebrafish;gene;0;2
424;cftr dysfunction;cftr;disease;0;12
425;cftr dysfunction;cftr dysfunction;disease;0;2
426;cftr dysfunction;chloride;disease;0;2
427;cftr dysfunction;chronic rhinosinusitis;disease;0;2
428;cftr dysfunction;cl(-);disease;0;4
429;cftr dysfunction;cystic fibrosis transmembrane conductance regulator;disease;0;2
430;cftr dysfunction;forskolin;disease;0;2
431;cftr dysfunction;human;disease;0;2
432;cftr dysfunction;ivacaftor;disease;0;14
433;cftr dysfunction;mucus stasis;disease;0;2
434;cftr dysfunction;p aeruginosa;disease;0;4
435;cftr dysfunction;pao1;disease;0;2
436;cftr dysfunction;pseudomonas aeruginosa;disease;0;2
437;cftr dysfunction;rabbit;disease;0;12
438;cftr dysfunction;rabbit nasal epithelial (rne) cultures;disease;0;2
439;cftr dysfunction;rne cultures;disease;0;2
440;cftr dysfunction;sinus disease;disease;0;2
441;cftr dysfunction;sinusitis;disease;0;2
442;cftr impairment;cf-adapted clinical isolate;disease;0;1
443;cftr impairment;cftr;disease;0;4
444;cftr impairment;cftr proteins;disease;0;1
445;cftr impairment;cystic fibrosis;disease;0;2
446;cftr impairment;cystic fibrosis transmembrane conductance regulator;disease;0;1
447;cftr impairment;f508del-cftr;disease;0;2
448;cftr impairment;hdmf;disease;0;1
449;cftr impairment;lasr;disease;0;2
450;cftr impairment;p. aeruginosa;disease;0;3
451;cftr impairment;pao1;disease;0;1
452;cftr impairment;pseudomonas aeruginosa;disease;0;1
453;cftr impairment;vrt-325;disease;0;1
454;cftr impairment;vx-809;disease;0;1
455;cftr impairment;wt-cftr;disease;0;4
456;cftr proteins;cf-adapted clinical isolate;gene;0;1
457;cftr proteins;cftr;gene;0;4
458;cftr proteins;cftr impairment;gene;0;1
459;cftr proteins;cystic fibrosis;gene;0;2
460;cftr proteins;cystic fibrosis transmembrane conductance regulator;gene;0;1
461;cftr proteins;f508del-cftr;gene;0;2
462;cftr proteins;hdmf;gene;0;1
463;cftr proteins;lasr;gene;0;2
464;cftr proteins;p. aeruginosa;gene;0;3
465;cftr proteins;pao1;gene;0;1
466;cftr proteins;pseudomonas aeruginosa;gene;0;1
467;cftr proteins;vrt-325;gene;0;1
468;cftr proteins;vx-809;gene;0;1
469;cftr proteins;wt-cftr;gene;0;4
470;cftr- epithelial cells;calu-3 cell line;cell_line;0;1
471;cftr- epithelial cells;cell lines;cell_line;0;1
472;cftr- epithelial cells;cftr;cell_line;0;3
473;cftr- epithelial cells;ciprofloxacin;cell_line;0;5
474;cftr- epithelial cells;cystic fibrosis;cell_line;0;1
475;cftr- epithelial cells;human;cell_line;0;1
476;cftr- epithelial cells;human airway epithelial cell line model;cell_line;0;1
477;cftr- epithelial cells;p. aeruginosa;cell_line;0;1
478;cftr- epithelial cells;pao1;cell_line;0;1
479;cftr- epithelial cells;pseudomonas;cell_line;0;2
480;cftr- epithelial cells;pseudomonas aeruginosa;cell_line;0;1
481;chloride;cftr;drug;0;6
482;chloride;cftr dysfunction;drug;0;2
483;chloride;chronic rhinosinusitis;drug;0;1
484;chloride;cl(-);drug;0;2
485;chloride;cystic fibrosis;drug;0;1
486;chloride;cystic fibrosis transmembrane conductance regulator;drug;0;1
487;chloride;f508del-cfbe cells;drug;0;1
488;chloride;f508del-cftr;drug;0;5
489;chloride;f508del-cftr mutation;drug;0;1
490;chloride;forskolin;drug;0;1
491;chloride;human;drug;0;1
492;chloride;human bronchial epithelial (hbe) cells;drug;0;1
493;chloride;ivacaftor;drug;0;7
494;chloride;mucus stasis;drug;0;1
495;chloride;p aeruginosa;drug;0;2
496;chloride;p. aeruginosa;drug;0;6
497;chloride;pak;drug;0;1
498;chloride;pao1;drug;0;1
499;chloride;pseudomonas aeruginosa;drug;0;1
500;chloride;rabbit;drug;0;6
501;chloride;rabbit nasal epithelial (rne) cultures;drug;0;1
502;chloride;rne cultures;drug;0;1
503;chloride;sinus disease;drug;0;1
504;chloride;sinusitis;drug;0;1
505;chloride;vx-770;drug;0;6
506;chloride;vx-809;drug;0;10
507;chloride;wt-cftr;drug;0;1
508;chronic obstructive pulmonary disease;airway epithelial cell lines;disease;0;1
509;chronic obstructive pulmonary disease;cell lines;disease;0;1
510;chronic obstructive pulmonary disease;cftr;disease;0;2
511;chronic obstructive pulmonary disease;copd;disease;0;1
512;chronic obstructive pulmonary disease;cystic fibrosis;disease;0;2
513;chronic obstructive pulmonary disease;cystic fibrosis transmembrane conductance regulator (cftr)-mutated;disease;0;1
514;chronic obstructive pulmonary disease;cystic fibrosis transmembrane conductance regulator (cftr)-mutated epithelial cells;disease;0;1
515;chronic obstructive pulmonary disease;cystic fibrosis transmembrane regulator;disease;0;1
516;chronic obstructive pulmonary disease;il-17;disease;0;1
517;chronic obstructive pulmonary disease;il-22;disease;0;1
518;chronic obstructive pulmonary disease;il-6;disease;0;4
519;chronic obstructive pulmonary disease;inflammation;disease;0;1
520;chronic obstructive pulmonary disease;interleukin (il)-6;disease;0;1
521;chronic obstructive pulmonary disease;lasb;disease;0;5
522;chronic obstructive pulmonary disease;mice;disease;0;3
523;chronic obstructive pulmonary disease;p. aeruginosa;disease;0;3
524;chronic obstructive pulmonary disease;pao1;disease;0;2
525;chronic obstructive pulmonary disease;pseudomonas aeruginosa;disease;0;3
526;chronic obstructive pulmonary disease;stat3;disease;0;1
527;chronic obstructive pulmonary disease;trappin-2;disease;0;3
528;chronic obstructive pulmonary disease;ventilator-associated pneumonia;disease;0;1
529;chronic obstructive pulmonary disease;wt-pao1;disease;0;1
530;chronic rhinosinusitis;cftr;disease;0;6
531;chronic rhinosinusitis;cftr dysfunction;disease;0;2
532;chronic rhinosinusitis;chloride;disease;0;1
533;chronic rhinosinusitis;cl(-);disease;0;2
534;chronic rhinosinusitis;cystic fibrosis transmembrane conductance regulator;disease;0;1
535;chronic rhinosinusitis;forskolin;disease;0;1
536;chronic rhinosinusitis;human;disease;0;1
537;chronic rhinosinusitis;ivacaftor;disease;0;7
538;chronic rhinosinusitis;mucus stasis;disease;0;1
539;chronic rhinosinusitis;p aeruginosa;disease;0;2
540;chronic rhinosinusitis;pao1;disease;0;1
541;chronic rhinosinusitis;pseudomonas aeruginosa;disease;0;1
542;chronic rhinosinusitis;rabbit;disease;0;6
543;chronic rhinosinusitis;rabbit nasal epithelial (rne) cultures;disease;0;1
544;chronic rhinosinusitis;rne cultures;disease;0;1
545;chronic rhinosinusitis;sinus disease;disease;0;1
546;chronic rhinosinusitis;sinusitis;disease;0;1
547;ciprofloxacin;calu-3 cell line;drug;0;5
548;ciprofloxacin;cell lines;drug;0;5
549;ciprofloxacin;cftr;drug;0;15
550;ciprofloxacin;cftr- epithelial cells;drug;0;5
551;ciprofloxacin;ciprofloxacin;drug;0;20
552;ciprofloxacin;cystic fibrosis;drug;0;5
553;ciprofloxacin;human;drug;0;5
554;ciprofloxacin;human airway epithelial cell line model;drug;0;5
555;ciprofloxacin;p. aeruginosa;drug;0;5
556;ciprofloxacin;pao1;drug;0;5
557;ciprofloxacin;pseudomonas;drug;0;10
558;ciprofloxacin;pseudomonas aeruginosa;drug;0;5
559;cl(-);cftr;drug;0;12
560;cl(-);cftr dysfunction;drug;0;4
561;cl(-);chloride;drug;0;2
562;cl(-);chronic rhinosinusitis;drug;0;2
563;cl(-);cl(-);drug;0;2
564;cl(-);cystic fibrosis transmembrane conductance regulator;drug;0;2
565;cl(-);forskolin;drug;0;2
566;cl(-);human;drug;0;2
567;cl(-);ivacaftor;drug;0;14
568;cl(-);mucus stasis;drug;0;2
569;cl(-);p aeruginosa;drug;0;4
570;cl(-);pao1;drug;0;2
571;cl(-);pseudomonas aeruginosa;drug;0;2
572;cl(-);rabbit;drug;0;12
573;cl(-);rabbit nasal epithelial (rne) cultures;drug;0;2
574;cl(-);rne cultures;drug;0;2
575;cl(-);sinus disease;drug;0;2
576;cl(-);sinusitis;drug;0;2
